File;Result;Init Time;Solve Time;Propagations;Decisions
flat30-64.cnf;SAT;0.00033500000000000196;0.0002370000000000011;77;13
flat30-70.cnf;SAT;0.0002799999999999886;0.0002440000000000081;75;15
flat30-99.cnf;SAT;0.00032100000000000184;0.00021999999999999797;76;14
flat30-66.cnf;SAT;0.00033700000000000396;0.0002390000000000031;75;15
flat30-72.cnf;SAT;0.00027699999999999947;0.00022500000000000298;75;15
flat30-73.cnf;SAT;0.0002940000000000026;0.0002329999999999971;78;12
flat30-67.cnf;SAT;0.0002819999999999906;0.00022700000000000498;76;14
flat30-98.cnf;SAT;0.00032400000000000484;0.0002410000000000051;75;15
flat30-88.cnf;SAT;0.0002909999999999996;0.00024399999999999422;77;13
flat30-63.cnf;SAT;0.0003700000000000092;0.0002489999999999992;74;16
flat30-9.cnf;SAT;0.0003090000000000037;0.0002459999999999962;76;14
flat30-77.cnf;SAT;0.000684000000000004;0.0002470000000000111;76;14
flat30-8.cnf;SAT;0.0004979999999999984;0.0002470000000000111;76;14
flat30-76.cnf;SAT;0.0002869999999999956;0.0002500000000000002;72;18
flat30-62.cnf;SAT;0.0005259999999999987;0.0002420000000000061;76;14
flat30-89.cnf;SAT;0.00027399999999999647;0.00021799999999999597;77;13
flat30-48.cnf;SAT;0.0006209999999999966;0.00022600000000000398;77;13
flat30-74.cnf;SAT;0.0003160000000000107;0.00025699999999999334;74;16
flat30-60.cnf;SAT;0.0006760000000000099;0.00024199999999999222;77;13
flat30-61.cnf;SAT;0.00028700000000000947;0.0002420000000000061;76;14
flat30-75.cnf;SAT;0.00045800000000001395;0.00023699999999998722;76;14
flat30-49.cnf;SAT;0.00027499999999999747;0.00023599999999998622;78;12
